,Datetime,Open,High,Low,Close,Volume
141,2025-04-29 19:00:00,1825.57,1828.68,1819.0,1821.65,10443.775
142,2025-04-29 20:00:00,1821.66,1825.69,1807.23,1808.68,12267.9086
143,2025-04-29 21:00:00,1808.68,1811.44,1789.85,1800.57,24600.8178
144,2025-04-29 22:00:00,1800.56,1800.56,1790.2,1792.69,12150.5303
145,2025-04-29 23:00:00,1792.69,1799.91,1780.47,1797.81,24630.1729
146,2025-04-30 00:00:00,1797.81,1813.09,1794.7,1805.61,15446.3568
147,2025-04-30 01:00:00,1805.6,1806.65,1788.9,1797.62,11037.4993
148,2025-04-30 02:00:00,1797.62,1806.14,1793.6,1802.99,8637.7898
149,2025-04-30 03:00:00,1802.99,1812.6,1798.45,1808.91,12401.5159
150,2025-04-30 04:00:00,1808.92,1813.0,1805.28,1811.91,10832.0871
151,2025-04-30 05:00:00,1811.9,1812.34,1801.4,1806.11,9742.5504
152,2025-04-30 06:00:00,1806.12,1808.83,1802.83,1803.24,6117.8712
153,2025-04-30 07:00:00,1803.24,1807.68,1791.1,1796.37,12115.4263
154,2025-04-30 08:00:00,1796.37,1802.13,1792.8,1795.24,11807.6378
155,2025-04-30 09:00:00,1795.24,1808.3,1795.0,1806.56,10415.2371
156,2025-04-30 10:00:00,1806.57,1810.8,1803.84,1807.53,9413.7609
157,2025-04-30 11:00:00,1807.54,1816.8,1807.54,1815.7,11736.4513
158,2025-04-30 12:00:00,1815.69,1816.4,1767.32,1775.46,53253.6258
159,2025-04-30 13:00:00,1775.46,1776.33,1735.2,1740.85,74123.1297
160,2025-04-30 14:00:00,1740.84,1773.0,1731.7,1759.27,63772.4296
161,2025-04-30 15:00:00,1759.27,1771.92,1757.57,1764.74,23862.3986
162,2025-04-30 16:00:00,1764.73,1771.15,1756.07,1767.99,15747.7174
163,2025-04-30 17:00:00,1767.99,1779.59,1761.8,1775.53,14162.5151
164,2025-04-30 18:00:00,1775.53,1789.6,1773.01,1782.48,24564.7062
165,2025-04-30 19:00:00,1782.49,1792.97,1775.92,1786.69,13303.3257
166,2025-04-30 20:00:00,1786.7,1809.72,1784.61,1794.01,31746.315
167,2025-04-30 21:00:00,1794.0,1800.7,1790.67,1792.52,10686.5924
168,2025-04-30 22:00:00,1792.52,1799.52,1789.24,1795.39,11421.1998
169,2025-04-30 23:00:00,1795.4,1799.5,1792.21,1793.61,7175.8485
170,2025-05-01 00:00:00,1793.62,1799.0,1792.52,1797.75,7155.8047
