2025-08-05 21:50:20,737 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,740 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,749 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,773 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,778 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,781 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,788 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,791 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,797 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,803 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,810 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,814 - INFO - SELL 100 VCB @ 60,100 VND, P&L: 340,000 VND (6.00%)
2025-08-05 21:50:20,824 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,834 - WARNING - Không tìm thấy nến tiếp theo cho signal 2025-08-05 00:00:00
2025-08-05 21:50:20,843 - INFO - Backtest completed
2025-08-05 21:54:22,668 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-05 21:54:22,849 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-05 21:54:22,852 - INFO - Starting backtest with 49 signals
2025-08-05 21:54:22,862 - INFO - 📋 Quy tắc: Mua 100 CP với giá mở cửa nến tiếp theo, Bán toàn bộ với giá mở cửa nến tiếp theo
2025-08-05 21:54:22,869 - INFO - BUY 100 ABS @ 3,610 VND (Cost: 361,000 VND)
2025-08-05 21:54:22,875 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:22,893 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:22,904 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:22,930 - INFO - SELL 100 ABS @ 3,550 VND, P&L: -6,000 VND (-1.66%)
2025-08-05 21:54:22,935 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:22,954 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:22,992 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,024 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,030 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,042 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,068 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,085 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,140 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,150 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,154 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,177 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,245 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,286 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,292 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,302 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,312 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,318 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,350 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,354 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,385 - INFO - BUY 100 ABS @ 3,560 VND (Cost: 356,000 VND)
2025-08-05 21:54:23,409 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,414 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,421 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,442 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,451 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,459 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,466 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,474 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,501 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,565 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,571 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,626 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,631 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,660 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,710 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,719 - INFO - Already have position in ABS, skipping BUY signal
2025-08-05 21:54:23,727 - INFO - SELL 100 ABS @ 3,830 VND, P&L: 27,000 VND (7.58%)
2025-08-05 21:54:23,786 - INFO - No position in ABS, skipping SELL signal
