,Datetime,Open,High,Low,Close,Volume,Momentum,RSI,Predicted_Close,Buy_Signal,Sell_Signal
62,2024-03-06 00:00:00,1.0855299999999999,1.08555,1.08496,1.08513,467,-0.0011499999999999844,32.83582089552357,1.0856036588942117,False,False
63,2024-03-06 00:30:00,1.08513,1.08523,1.08489,1.08497,557,-0.001000000000000112,34.37499999999979,1.0851580197461048,False,False
64,2024-03-06 01:00:00,1.08496,1.085,1.08457,1.08459,562,-0.0007700000000001594,37.03703703703593,1.0849923837723114,False,False
65,2024-03-06 01:30:00,1.08459,1.08462,1.0842,1.08437,663,-0.0008899999999998354,35.598705501620955,1.084604885699991,False,False
66,2024-03-06 02:00:00,1.08437,1.08485,1.08436,1.08467,587,-0.0009699999999999154,33.88704318936995,1.084384621491728,False,True
67,2024-03-06 02:30:00,1.08466,1.08529,1.08458,1.08522,512,-4.999999999988347e-05,49.2163009404407,1.0846825991905344,False,True
68,2024-03-06 03:00:00,1.08523,1.0853,1.08501,1.08516,452,9.999999999843467e-06,50.15974440894317,1.0852580036234138,True,False
69,2024-03-06 03:30:00,1.08518,1.08527,1.08501,1.08504,469,-0.0006800000000000139,37.31343283582176,1.085198351266329,False,False
70,2024-03-06 04:00:00,1.08505,1.08519,1.08494,1.08505,440,-0.0005899999999998684,38.697318007666325,1.085051384986389,False,False
71,2024-03-06 04:30:00,1.08505,1.08519,1.08497,1.08516,425,-0.00042000000000008697,42.10526315789342,1.0850625675350294,False,True
72,2024-03-06 05:00:00,1.08517,1.08541,1.08514,1.08534,475,-0.00022999999999995246,45.936395759718316,1.0851818416069337,False,True
73,2024-03-06 05:30:00,1.08534,1.08565,1.08534,1.08549,388,-0.00017999999999984695,46.87500000000289,1.0853728978612736,False,True
74,2024-03-06 06:00:00,1.08546,1.08585,1.08545,1.08566,546,-5.999999999994898e-05,49.000000000000895,1.0855261924480766,False,True
75,2024-03-06 06:30:00,1.08567,1.08601,1.08563,1.08591,450,0.00034000000000000696,55.483870967742256,1.085701378918378,False,False
76,2024-03-06 07:00:00,1.08591,1.08644,1.08581,1.08627,933,0.001140000000000141,68.87417218543266,1.085961105744342,False,False
77,2024-03-06 07:30:00,1.08625,1.0866,1.086,1.08615,921,0.0011799999999999589,69.79865771811876,1.0863425988645572,True,False
78,2024-03-06 08:00:00,1.08613,1.08707,1.08589,1.08658,1130,0.0019900000000001583,82.83828382838209,1.0862244192241592,False,False
79,2024-03-06 08:30:00,1.0866,1.08738,1.0865,1.08727,1049,0.0028999999999999027,91.42857142856671,1.086672719081051,False,False
80,2024-03-06 09:00:00,1.08727,1.08748,1.08689,1.08705,882,0.0023800000000000487,84.79532163742557,1.0873377215856315,False,False
81,2024-03-06 09:30:00,1.08706,1.08773,1.08706,1.08761,955,0.002389999999999892,84.83965014577058,1.087120085320808,False,False
