Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,56200,02/06/2025,13:33:58,56200,56200,56100,56200,7400
VCB,56200,02/06/2025,13:33:58,56200,56200,56100,56200,7400
VCB,56200,02/06/2025,13:34:52,56200,56200,56100,56200,9500
VCB,56200,02/06/2025,13:34:52,56200,56200,56100,56200,9500
VCB,56200,02/06/2025,13:34:52,56200,56200,56100,56200,9500
VCB,56200,02/06/2025,13:35:51,56200,56200,56100,56200,17300
VCB,56200,02/06/2025,13:35:51,56200,56200,56100,56200,17300
VCB,56200,02/06/2025,13:35:51,56200,56200,56100,56200,17300
VCB,56200,02/06/2025,13:36:55,56200,56200,56100,56200,13300
VCB,56200,02/06/2025,13:36:55,56200,56200,56100,56200,13300
VCB,56200,02/06/2025,13:36:55,56200,56200,56100,56200,13300
VCB,56200,02/06/2025,13:37:59,56200,56200,56100,56200,5400
VCB,56200,02/06/2025,13:37:59,56200,56200,56100,56200,5400
VCB,56200,02/06/2025,13:37:59,56200,56200,56100,56200,5400
VCB,56100,02/06/2025,13:38:52,56200,56200,56100,56100,3500
VCB,56100,02/06/2025,13:38:52,56200,56200,56100,56100,3500
VCB,56100,02/06/2025,13:38:52,56200,56200,56100,56100,3500
VCB,56100,02/06/2025,13:39:54,56200,56200,56100,56100,5400
VCB,56100,02/06/2025,13:39:54,56200,56200,56100,56100,5400
VCB,56100,02/06/2025,13:39:54,56200,56200,56100,56100,5400
VCB,56100,02/06/2025,13:40:55,56100,56100,56100,56100,2600
VCB,56100,02/06/2025,13:40:55,56100,56100,56100,56100,2600
VCB,56100,02/06/2025,13:40:55,56100,56100,56100,56100,2600
VCB,56200,02/06/2025,13:41:58,56200,56200,56100,56200,9300
VCB,56200,02/06/2025,13:41:58,56200,56200,56100,56200,9300
VCB,56200,02/06/2025,13:41:58,56200,56200,56100,56200,9300
VCB,56100,02/06/2025,13:42:58,56200,56200,56100,56100,15700
VCB,56100,02/06/2025,13:42:58,56200,56200,56100,56100,15700
VCB,56100,02/06/2025,13:42:58,56200,56200,56100,56100,15700
VCB,56100,02/06/2025,13:43:59,56100,56200,56100,56100,4500
VCB,56100,02/06/2025,13:43:59,56100,56200,56100,56100,4500
VCB,56100,02/06/2025,13:43:59,56100,56200,56100,56100,4500
VCB,56200,02/06/2025,13:44:34,56100,56200,56100,56200,3100
VCB,56200,02/06/2025,13:44:34,56100,56200,56100,56200,3100
VCB,56200,02/06/2025,13:44:34,56100,56200,56100,56200,3100
VCB,56200,02/06/2025,13:45:58,56100,56200,56100,56200,4600
VCB,56200,02/06/2025,13:45:58,56100,56200,56100,56200,4600
VCB,56200,02/06/2025,13:45:58,56100,56200,56100,56200,4600
VCB,56100,02/06/2025,13:46:45,56100,56200,56100,56100,7700
VCB,56100,02/06/2025,13:46:45,56100,56200,56100,56100,7700
VCB,56100,02/06/2025,13:46:45,56100,56200,56100,56100,7700
VCB,56200,02/06/2025,13:47:40,56100,56200,56100,56200,31900
VCB,56200,02/06/2025,13:47:40,56100,56200,56100,56200,31900
VCB,56200,02/06/2025,13:47:40,56100,56200,56100,56200,31900
VCB,56100,02/06/2025,13:48:46,56200,56200,56100,56100,5800
VCB,56100,02/06/2025,13:48:46,56200,56200,56100,56100,5800
VCB,56100,02/06/2025,13:48:46,56200,56200,56100,56100,5800
VCB,56100,02/06/2025,13:49:53,56100,56200,56100,56100,8500
VCB,56100,02/06/2025,13:49:53,56100,56200,56100,56100,8500
VCB,56100,02/06/2025,13:49:53,56100,56200,56100,56100,8500
VCB,56200,02/06/2025,13:50:58,56100,56200,56100,56200,9700
VCB,56200,02/06/2025,13:50:58,56100,56200,56100,56200,9700
VCB,56200,02/06/2025,13:50:58,56100,56200,56100,56200,9700
VCB,56200,02/06/2025,13:51:52,56100,56200,56100,56200,5600
VCB,56200,02/06/2025,13:51:52,56100,56200,56100,56200,5600
VCB,56200,02/06/2025,13:51:52,56100,56200,56100,56200,5600
VCB,56200,02/06/2025,13:52:28,56100,56200,56100,56200,5200
VCB,56200,02/06/2025,13:52:28,56100,56200,56100,56200,5200
VCB,56200,02/06/2025,13:52:28,56100,56200,56100,56200,5200
VCB,56200,02/06/2025,13:53:58,56100,56200,56100,56200,4000
VCB,56200,02/06/2025,13:53:58,56100,56200,56100,56200,4000
VCB,56200,02/06/2025,13:53:58,56100,56200,56100,56200,4000
VCB,56100,02/06/2025,13:54:15,56200,56200,56100,56100,2300
VCB,56100,02/06/2025,13:54:15,56200,56200,56100,56100,2300
VCB,56100,02/06/2025,13:54:15,56200,56200,56100,56100,2300
VCB,56200,02/06/2025,13:55:59,56200,56200,56100,56200,2600
VCB,56200,02/06/2025,13:55:59,56200,56200,56100,56200,2600
VCB,56200,02/06/2025,13:55:59,56200,56200,56100,56200,2600
VCB,56300,02/06/2025,13:56:58,56200,56300,56100,56300,110500
VCB,56300,02/06/2025,13:56:58,56200,56300,56100,56300,110500
VCB,56300,02/06/2025,13:56:58,56200,56300,56100,56300,110500
VCB,56300,02/06/2025,13:57:54,56300,56300,56200,56300,7200
VCB,56300,02/06/2025,13:57:54,56300,56300,56200,56300,7200
VCB,56300,02/06/2025,13:57:54,56300,56300,56200,56300,7200
VCB,56200,02/06/2025,13:58:59,56300,56300,56200,56200,157500
VCB,56200,02/06/2025,13:58:59,56300,56300,56200,56200,157500
VCB,56200,02/06/2025,13:58:59,56300,56300,56200,56200,157500
VCB,56300,02/06/2025,13:59:53,56300,56300,56200,56300,51600
VCB,56300,02/06/2025,13:59:53,56300,56300,56200,56300,51600
VCB,56300,02/06/2025,13:59:53,56300,56300,56200,56300,51600
VCB,56400,02/06/2025,14:00:52,56200,56400,56200,56400,52600
VCB,56400,02/06/2025,14:00:52,56200,56400,56200,56400,52600
VCB,56400,02/06/2025,14:00:52,56200,56400,56200,56400,52600
VCB,56300,02/06/2025,14:01:33,56300,56300,56300,56300,4500
VCB,56300,02/06/2025,14:01:33,56300,56300,56300,56300,4500
VCB,56300,02/06/2025,14:01:33,56300,56300,56300,56300,4500
VCB,56400,02/06/2025,14:02:59,56300,56400,56300,56400,37500
VCB,56400,02/06/2025,14:02:59,56300,56400,56300,56400,37500
VCB,56400,02/06/2025,14:02:59,56300,56400,56300,56400,37500
VCB,56400,02/06/2025,14:03:58,56400,56400,56300,56400,29600
VCB,56400,02/06/2025,14:03:58,56400,56400,56300,56400,29600
VCB,56400,02/06/2025,14:03:58,56400,56400,56300,56400,29600
VCB,56400,02/06/2025,14:04:50,56300,56400,56300,56400,8400
VCB,56400,02/06/2025,14:04:50,56300,56400,56300,56400,8400
VCB,56400,02/06/2025,14:04:50,56300,56400,56300,56400,8400
VCB,56300,02/06/2025,14:05:44,56400,56400,56300,56300,42900
VCB,56300,02/06/2025,14:05:44,56400,56400,56300,56300,42900
VCB,56300,02/06/2025,14:05:44,56400,56400,56300,56300,42900
VCB,56300,02/06/2025,14:06:51,56300,56300,56200,56300,10700
VCB,56300,02/06/2025,14:06:51,56300,56300,56200,56300,10700
VCB,56300,02/06/2025,14:06:51,56300,56300,56200,56300,10700
VCB,56300,02/06/2025,14:07:59,56300,56300,56200,56300,13100
VCB,56300,02/06/2025,14:07:59,56300,56300,56200,56300,13100
VCB,56300,02/06/2025,14:07:59,56300,56300,56200,56300,13100
VCB,56200,02/06/2025,14:08:36,56300,56300,56200,56200,56300
VCB,56200,02/06/2025,14:08:36,56300,56300,56200,56200,56300
VCB,56200,02/06/2025,14:08:36,56300,56300,56200,56200,56300
VCB,56200,02/06/2025,14:09:50,56300,56300,56200,56200,23300
VCB,56200,02/06/2025,14:09:50,56300,56300,56200,56200,23300
VCB,56200,02/06/2025,14:09:50,56300,56300,56200,56200,23300
VCB,56200,02/06/2025,14:10:35,56200,56200,56200,56200,27700
VCB,56200,02/06/2025,14:10:35,56200,56200,56200,56200,27700
VCB,56200,02/06/2025,14:10:35,56200,56200,56200,56200,27700
VCB,56200,02/06/2025,14:11:37,56300,56300,56200,56200,1700
VCB,56200,02/06/2025,14:11:37,56300,56300,56200,56200,1700
VCB,56200,02/06/2025,14:11:37,56300,56300,56200,56200,1700
VCB,56300,02/06/2025,14:12:46,56200,56300,56200,56300,22400
VCB,56300,02/06/2025,14:12:46,56200,56300,56200,56300,22400
VCB,56300,02/06/2025,14:12:46,56200,56300,56200,56300,22400
VCB,56200,02/06/2025,14:13:54,56300,56300,56200,56200,4300
VCB,56200,02/06/2025,14:13:54,56300,56300,56200,56200,4300
VCB,56200,02/06/2025,14:13:54,56300,56300,56200,56200,4300
