,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
423,20998582,2024-11-22 20:17:17,1732306637754,2024-11-22 20:17:17,1732306637755,0,0,0,0,4,234000,20998582,0,3,0.01,0.0,0.0,20768.9,20828.9,20808.6,0.0,US100,python script op,
424,20998607,2024-11-22 20:18:18,1732306698259,2024-11-22 20:18:18,1732306698261,0,0,0,0,4,234000,20998607,0,3,0.01,0.0,0.0,20763.9,20823.9,20804.4,0.0,US100,python script op,
425,20998626,2024-11-22 20:19:18,1732306758723,2024-11-22 20:19:18,1732306758725,0,0,0,0,4,234000,20998626,0,3,0.01,0.0,0.0,20771.1,20831.1,20811.6,0.0,US100,python script op,
426,20998656,2024-11-22 20:20:19,1732306819194,2024-11-22 20:20:19,1732306819195,0,0,0,0,4,234000,20998656,0,3,0.01,0.0,0.0,20759.1,20819.1,20799.6,0.0,US100,python script op,
427,20998707,2024-11-22 20:21:19,1732306879655,2024-11-22 20:21:19,1732306879657,0,0,0,0,4,234000,20998707,0,3,0.01,0.0,0.0,20764.9,20824.9,20804.9,0.0,US100,python script op,
428,20998722,2024-11-22 20:22:20,1732306940126,2024-11-22 20:22:20,1732306940127,0,0,0,0,4,234000,20998722,0,3,0.01,0.0,0.0,20768.9,20828.9,20809.4,0.0,US100,python script op,
429,20998770,2024-11-22 20:23:20,1732307000592,2024-11-22 20:23:20,1732307000594,0,0,0,0,4,234000,20998770,0,3,0.01,0.0,0.0,20771.9,20831.9,20811.9,0.0,US100,python script op,
430,20998828,2024-11-22 20:24:21,1732307061061,2024-11-22 20:24:21,1732307061062,0,0,0,0,4,234000,20998828,0,3,0.01,0.0,0.0,20773.9,20833.9,20813.9,0.0,US100,python script op,
431,20998848,2024-11-22 20:25:21,1732307121497,2024-11-22 20:25:21,1732307121498,0,0,0,0,4,234000,20998848,0,3,0.01,0.0,0.0,20770.9,20830.9,20810.6,0.0,US100,python script op,
432,20998879,2024-11-22 20:26:10,1732307170064,2024-11-22 20:26:10,1732307170065,0,0,0,0,4,234000,20998879,0,3,0.01,0.0,0.0,20768.9,20828.9,20808.6,0.0,US100,python script op,
433,20998891,2024-11-22 20:27:23,1732307243789,2024-11-22 20:27:23,1732307243791,0,0,0,0,4,234000,20998891,0,3,0.01,0.0,0.0,20766.6,20826.6,20806.1,0.0,US100,python script op,
434,20998899,2024-11-22 20:28:12,1732307292461,2024-11-22 20:28:12,1732307292462,0,1,0,0,4,234000,20998899,0,3,0.01,0.0,0.0,20839.8,20779.8,20800.1,0.0,US100,python script op,
435,20998939,2024-11-22 20:29:12,1732307352863,2024-11-22 20:29:12,1732307352865,0,1,0,0,4,234000,20998939,0,3,0.01,0.0,0.0,20831.8,20771.8,20791.8,0.0,US100,python script op,
436,20998989,2024-11-22 20:30:13,1732307413275,2024-11-22 20:30:13,1732307413276,0,1,0,0,4,234000,20998989,0,3,0.01,0.0,0.0,20830.6,20770.6,20790.1,0.0,US100,python script op,
437,20999024,2024-11-22 20:31:13,1732307473696,2024-11-22 20:31:13,1732307473698,0,1,0,0,4,234000,20999024,0,3,0.01,0.0,0.0,20844.6,20784.6,20805.0,0.0,US100,python script op,
438,20999076,2024-11-22 20:32:14,1732307534165,2024-11-22 20:32:14,1732307534167,0,1,0,0,4,234000,20999076,0,3,0.01,0.0,0.0,20849.6,20789.6,20808.8,0.0,US100,python script op,
439,20999117,2024-11-22 20:33:14,1732307594781,2024-11-22 20:33:14,1732307594783,0,1,0,0,4,234000,20999117,0,3,0.01,0.0,0.0,20843.8,20783.8,20803.1,0.0,US100,python script op,
440,20999131,2024-11-22 20:34:15,1732307655746,2024-11-22 20:34:15,1732307655747,0,1,0,0,4,234000,20999131,0,3,0.01,0.0,0.0,20840.1,20780.1,20800.1,0.0,US100,python script op,
