Datetime,Open,High,Low,Close,Volume,EMA10,EMA20,EMA60,MACD,Signal,Hist,Buy_Signal,Buy_Signal1
2025-09-30 05:20:00,114506.0,114611.5,114505.0,114557.0,368,114560.9546682627,114550.89364506496,114421.39561303964,-3.2445713014603825,8.243285710293115,-11.487857011753498,False,False
2025-09-30 05:25:00,114553.5,114633.5,114524.0,114572.0,321,114562.96291039675,114552.9037741064,114426.33346179244,2.862275069273892,6.449615496620041,-3.587340427346149,False,False
2025-09-30 05:30:00,114571.5,114595.5,114532.0,114559.0,253,114562.24238123371,114553.48436704864,114430.68318435662,3.3596657351299655,5.419632242790016,-2.05996650766005,False,False
2025-09-30 05:35:00,114560.0,114577.0,114534.5,114574.5,237,114564.47103919121,114555.48585590115,114435.39848978755,7.243499288029852,6.027587924536628,1.2159113634932242,True,False
2025-09-30 05:40:00,114566.0,114671.0,114522.0,114565.5,328,114564.65812297462,114556.43958391056,114439.6641130732,7.213319548900472,6.422831799324576,0.7904877495758962,True,False
2025-09-30 05:45:00,114565.5,114680.0,114565.5,114590.0,335,114569.26573697924,114559.63581401431,114444.59315854621,12.799454958658316,8.548372852435822,4.251082106222494,True,False
2025-09-30 05:50:00,114589.0,114634.0,114488.0,114504.0,333,114557.39923934665,114554.33716506057,114446.54092383977,-4.713652411926887,4.127697764314919,-8.841350176241807,False,True
2025-09-30 05:55:00,114503.0,114556.0,114467.5,114548.0,326,114555.69028673817,114553.733625531,114449.86745092699,-4.651283765226253,1.201370587801195,-5.852654353027448,False,True
2025-09-30 06:00:00,114550.0,114619.0,114465.0,114568.0,355,114557.92841642215,114555.09232786138,114453.74064925725,0.2958999824622879,0.8995470526882261,-0.6036470702259382,False,False
2025-09-30 06:05:00,114567.0,114582.0,114495.0,114498.5,317,114547.12324979994,114549.70258235077,114455.20816895373,-13.277097121550469,-3.826001005391338,-9.451096116159132,False,True
2025-09-30 06:10:00,114499.0,114499.0,114417.5,114475.5,360,114534.1008407454,114542.63566974594,114455.87347488967,-26.518679593122215,-11.39022720130163,-15.128452391820584,False,True
2025-09-30 06:15:00,114467.0,114523.0,114422.0,114481.0,382,114524.44614242806,114536.76560596061,114456.6972953851,-32.35427919206268,-18.37824453155531,-13.976034660507366,False,True
2025-09-30 06:20:00,114483.0,114483.0,114391.5,114404.5,310,114502.63775289568,114524.1688815834,114454.98590865116,-53.06133040437999,-29.9392731558302,-23.122057248549787,False,False
2025-09-30 06:25:00,114403.0,114423.0,114388.0,114415.5,316,114486.79452509647,114513.81946428974,114453.69128869538,-61.24776350372122,-40.375436605127206,-20.87232689859401,False,False
2025-09-30 06:30:00,114416.0,114420.5,114385.5,114403.0,275,114471.55915689711,114503.26522959548,114452.02927922996,-67.21742907146108,-49.322767427238496,-17.894661644222587,False,False
2025-09-30 06:35:00,114405.0,114458.0,114394.5,114415.0,277,114461.27567382492,114494.85901725305,114450.81520450111,-65.82715023704804,-54.82422836384168,-11.002921873206368,False,False
2025-09-30 06:40:00,114410.0,114512.5,114396.5,114512.0,271,114470.49827858403,114496.49149180038,114452.82126336993,-39.80358045636967,-49.81734572801768,10.013765271648005,True,False
2025-09-30 06:45:00,114514.0,114542.0,114411.0,114462.0,349,114468.95313702329,114493.20658781938,114453.12220555452,-34.747980256710434,-44.7942239042486,10.046243647538162,False,True
2025-09-30 06:50:00,114464.0,114492.0,114408.0,114410.0,304,114458.23438483724,114485.2821508842,114451.70836274946,-42.97641250908782,-44.188286772528336,1.2118742634405137,False,False
2025-09-30 06:55:00,114410.5,114465.0,114399.0,114445.0,284,114455.82813304865,114481.4457555619,114451.4884164298,-38.241929978496046,-42.20616784118424,3.9642378626881936,False,False
2025-09-30 07:00:00,114449.0,114450.0,114407.0,114426.0,308,114450.4048361307,114476.16520741314,114450.65273064522,-38.69599035753345,-41.036108679967306,2.3401183224338595,False,False
2025-09-30 07:05:00,114427.0,114432.0,114375.0,114380.0,214,114437.60395683421,114467.00661623094,114448.33624767324,-48.69380486053706,-43.58867407349056,-5.105130787046498,False,False
2025-09-30 07:10:00,114378.0,114407.0,114364.0,114393.0,239,114429.49414650071,114459.95836706608,114446.52194447085,-50.083159485817305,-45.75350254426614,-4.329656941551164,False,False
2025-09-30 07:15:00,114394.0,114415.0,114348.5,114348.5,279,114414.76793804603,114449.34328448836,114443.3081102259,-59.92647943485645,-50.47782817446291,-9.44865126039354,False,False
2025-09-30 07:20:00,114342.0,114415.0,114329.0,114333.5,294,114399.9919493104,114438.31059072757,114439.70784431686,-67.5327206919028,-56.16279234694287,-11.369928344959924,False,False
2025-09-30 07:25:00,114331.0,114334.0,114252.0,114253.0,270,114373.26614034487,114420.66196303924,114433.58627565073,-89.1433830154565,-67.15632256978074,-21.987060445675752,False,False
2025-09-30 07:30:00,114254.0,114348.5,114211.0,114303.0,333,114360.49047846398,114409.4560617974,114429.30475841627,-87.44367511488963,-73.91877341815037,-13.524901696739263,False,False
2025-09-30 07:35:00,114304.0,114304.0,114241.0,114278.0,322,114345.49220965235,114396.93643686431,114424.34394666491,-89.59484574264206,-79.1441308596476,-10.450714882994461,False,False
2025-09-30 07:40:00,114274.0,114294.5,114237.0,114285.0,329,114334.4936260792,114386.27582382962,114419.7752926759,-86.3814297485078,-81.556563822601,-4.824865925906792,False,False
2025-09-30 07:45:00,114284.0,114304.5,114217.5,114233.0,324,114316.04023951935,114371.67812632203,114413.65151258817,-94.08186360128457,-85.73166374882886,-8.350199852455702,False,False
2025-09-30 07:50:00,114231.5,114250.0,114170.0,114197.0,260,114294.39655960674,114355.04211429137,114406.5481843066,-104.31127247754193,-91.92486665839989,-12.386405819142041,False,False
2025-09-30 07:55:00,114198.0,114256.0,114158.0,114164.5,331,114270.7790033146,114336.89524626362,114398.61217826375,-114.90801838773768,-99.58591723484582,-15.322101152891861,False,False
2025-09-30 08:00:00,114164.0,114250.5,114119.0,114187.0,379,114255.5464572574,114322.61950852424,114391.67407405838,-112.29468994031777,-103.82217480333647,-8.4725151369813,False,False
2025-09-30 08:05:00,114187.5,114285.0,114182.5,114274.0,295,114258.90164684696,114317.98907914097,114387.81590769581,-86.43920008502027,-98.02784989723106,11.58864981221079,False,False
2025-09-30 08:10:00,114276.0,114276.0,114138.0,114197.5,305,114247.7377110566,114306.51392874659,114381.57604186972,-86.31400937595754,-94.1232363901399,7.809227014182355,False,False
2025-09-30 08:15:00,114189.0,114215.5,114114.0,114131.5,358,114226.60358177358,114289.84593553262,114373.37682738219,-99.2126559522003,-95.81970957749336,-3.3929463747069377,False,False
2025-09-30 08:20:00,114135.5,114154.5,114067.5,114082.5,404,114200.40293054203,114270.09870357712,114363.83988222212,-115.50985052350734,-102.38308989283135,-13.126760630675989,False,False
2025-09-30 08:25:00,114079.0,114089.0,113996.5,114023.5,399,114168.23876135256,114246.61311276026,114352.6811975591,-135.72054405784002,-113.49557461450091,-22.224969443339106,False,False
2025-09-30 08:30:00,114020.0,114052.0,113982.5,114011.0,337,114139.6498956521,114224.17376868785,114341.47853534404,-146.57872288623184,-124.52329070507788,-22.05543218115396,False,False
2025-09-30 08:35:00,114016.0,114058.0,114005.0,114037.5,217,114121.07718735171,114206.3953145271,114331.5120259885,-142.16528399268282,-130.40395513427953,-11.761328858403289,False,False
2025-09-30 08:40:00,114038.0,114097.0,114020.0,114060.0,297,114109.97224419685,114192.45290361975,114322.60999234953,-129.63288326347538,-130.1469311773448,0.5140479138694332,False,False
2025-09-30 08:45:00,114062.0,114062.0,113947.0,114026.0,384,114094.70456343378,114176.60024613215,114312.88507456759,-126.0535658946319,-128.78247608310718,2.7289101884752824,False,False
2025-09-30 08:50:00,114031.0,114074.0,113963.0,113967.5,379,114071.57646099127,114156.6859369767,114301.5609737621,-133.82148348502233,-130.4621452170789,-3.3593382679434285,False,False
