2025-08-04 10:06:16,881 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,882 - INFO - BUY 8660 EURUSD.sml @ 1.15330 VND
2025-08-04 10:06:16,882 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,883 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,883 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,884 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,884 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,885 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,885 - INFO - SELL 8660 EURUSD.sml @ 1.15277 VND, P&L: -4.58980 VND (-0.05%)
2025-08-04 10:06:16,886 - INFO - BUY 8660 EURUSD.sml @ 1.15275 VND
2025-08-04 10:06:16,886 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,887 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,887 - INFO - SELL 8660 EURUSD.sml @ 1.15222 VND, P&L: -4.58980 VND (-0.05%)
2025-08-04 10:06:16,888 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,888 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,889 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,889 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,890 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,890 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,891 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,891 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,892 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,892 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,893 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,893 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,894 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,894 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,895 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,895 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,896 - INFO - BUY 8660 EURUSD.sml @ 1.15234 VND
2025-08-04 10:06:16,897 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,897 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,898 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,898 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,899 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,899 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,900 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,900 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,900 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,901 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,901 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,902 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,902 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,903 - INFO - SELL 8660 EURUSD.sml @ 1.15229 VND, P&L: -0.43300 VND (-0.00%)
2025-08-04 10:06:16,903 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,904 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,904 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,905 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,905 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,906 - INFO - BUY 8657 EURUSD.sml @ 1.15262 VND
2025-08-04 10:06:16,906 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,907 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,907 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,908 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,908 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,908 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,909 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,909 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,910 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,910 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,911 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,912 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,912 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,912 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,913 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,913 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,914 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,914 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,915 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,916 - INFO - Already have position in EURUSD.sml, skipping BUY signal
